,author,shortcode,timestamp,likes,comments,caption,text
10,shmee150,CSPncQZiNnL,1628276629,24190,158,"Photo shared by Tim - Shmee on August 06, 2021 tagging @mercedesamg, @shmee150wastaken, @theshmeemobiles, and @theshmuseum. May be an image of car.","My AMG Black Series trio are finally together at @theshmuseum! It's a dream come true to have these three incredibly special cars in @theshmeemobiles collection and now for the first time all here following pickup of the SLS BS from @avantgarde_mb fully ready to go. After taking delivery of the GT BS and C63 BS recently, I've been itching to bring the SLS BS home and now need to start planning a tour to Affalterbach... #Mercedes #AMG #BlackSeries #Shmeemobile #TheShmuseum #Shmee150"
11,shmee150,CSKcS1PieRv,1628103012,20139,71,"Photo shared by Tim - Shmee on August 04, 2021 tagging @shmee150wastaken, and @theshmeemobiles. May be an image of 1 person, car and road.","Back to the old school, car spotting in London with @theshmeemobiles original V8 Vantage Roadster! It feels like a decade ago, enjoying the Aston, and filming Aventadors, they just changed from the original LP700-4 to the SVJs! Plus, found a Huayra Roadster and LaFerrari too, all in my new video taking a walk down memory lane with a truly special car in my collection #Lamborghini #Aventador #SVJ #carspotting #AstonMartin #Vantage #Shmeemobile #londoncars #Shmee150"
12,diwd_official,CSxJrglL0Ve,1629401876,10238,72,"Photo by DOITWITHDAN™ on August 19, 2021. May be an image of car and outdoors.","These are my two favorites. After the dually is done, I'm finishing the 73'... I can't stop looking at old photos and videos of it."
13,diwd_official,CSvMcGNp8XA,1629336214,3092,15,"Photo shared by DOITWITHDAN™ on August 18, 2021 tagging @atlantacustomwraps, @killboydotcom, and @smokymountaindrives_. May be an image of car and road.",Yo! Dragon Rally XI is this weekend!!! An absolutely epic chance to run the dragon with the best drivers on the road (I'm not in that category 😂) but @smokymountaindrives_ go check them out!
14,diwd_official,CSnI2curHnM,1629065897,16981,302,"Photo by DOITWITHDAN™ on August 15, 2021. May be an image of 3 people and text that says 'The U.S: *Withdraws from Afghanistan after 20 years of occupation The Taliban:'.","This shit is messed up, on a real note."
15,diwd_official,CSiUMZ7sjBW,1628904072,6988,36,"Photo by DOITWITHDAN™ on August 13, 2021. May be an image of car and outdoors.","Door still go up! 

We dropped a new podcast on WrapLife today with @atlantacustomwraps @killboydotcom and @mac_man_atl"
16,diwd_official,CSgEH6PMmea,1628828538,3408,23,"Photo by DOITWITHDAN™ on August 12, 2021. May be an image of car.",Late night creepin'
17,diwd_official,CSe1wnQlwNc,1628787478,15351,102,,
18,diwd_official,CSax5KdMXv0,1628651207,7589,382,"Photo shared by DOITWITHDAN™ on August 10, 2021 tagging @atlantacustomwraps, @killboydotcom, and @justinacw_wraplife. May be an image of car and road.","Yo, so Justin and I have been kicking around the idea of doing a raffle. Like, we fly you out and hang? Do some cool shit? Ride around in the mountains in supercars, etc ... But we wanna make sure that is something you guys would wanna do. That being said, does that sound like fun to y'all? We'd have a blast doing it, and I think some of you would too. Lemme know if we should."
19,diwd_official,CSaCdDrltnI,1628626336,7985,64,"Photo by DOITWITHDAN™ on August 10, 2021.","Swapped the door panels and dash, and now it's time to build the center console. Got a mini fridge for it too"
20,diwd_official,CSTTGc-MpbI,1628400182,9244,48,"Photo by DOITWITHDAN™ on August 07, 2021. May be an image of 1 person and text that says 'Fear factor enitrouspart For this next challenge, you're gonna have to get out of a hammock on ketamine'.","""pull that up Jamie, let's see that"""
21,diwd_official,CSQIzoMM5AO,1628294122,10220,142,"Photo by DOITWITHDAN™ on August 06, 2021. May be an image of text that says 'the Ate half my sandwich prolly save other half for later'.",Still kinda hungry tho
22,diwd_official,CSP29IGLNCa,1628284763,9237,86,"Photo by DOITWITHDAN™ on August 06, 2021.","Back to chrome! I missed the all chrome centers, so I removed the dip."
23,diwd_official,CSNAhQrrfSF,1628189114,20361,299,"Photo by DOITWITHDAN™ on August 05, 2021. May be an image of ‎text that says '‎About This Vehicle ఈه Sport Driven 4,100 miles Engine size: 600cc i Manual transmission Exterior: White Description 나0닌 purchased this gsxr 600 4 days ago as my first bike. I've laid it down twice today at about 5 mph both times and I'm over it. Fuck motorcycles, I'm going back to cars. Someone come take this thing away. Just trying to get what paid for it back- minus the damage I've caused. Citan 4,100 miles I'm great condition besides the dings I've put on it today. Would trade plus cash for a 350zRead Less‎'‎.","Looking at bikes on FB Marketplace and came across this gem 🤣 

I'm not making fun of this dude. I get it; riding ain't for everyone! But I wanna be like, ""give It a few more tries!"" And then offer 2k less when he crashes it again 🤣"
24,thatdudeinblue,CS2Do8oHtP4,1629566481,4015,10,"Photo shared by David Patterson on August 21, 2021 tagging @dallasperformance. May be an image of 1 person, car and road.",Starting today’s video shoot off right. @dallasperformance #lambo #twinturbo #tt #ttlambo #huracan #huracanperfomante
25,thatdudeinblue,CSnE_C0nPwJ,1629064016,14357,100,,Driving a BRAND NEW manual sports car is SUCH a delight! Cadillac threw me the keys to the new 668HP Blackwing and asked me for my thoughts! Full video now live on the channel! Link in bio. #thatdudeinblue #ct5vblackwing #ct5v #cadillac #cars #manualtransmission #manual #lt4 #boost #sixspeed #horsepower
26,thatdudeinblue,CSaWn1tnB4Q,1628637036,3987,20,,Finally back! Today’s video we drive this absolutely insane twin turbo Boss 302 that makes 900HP! I go through the process of the build and how to make something like this happen. Link in bio! #thatdudeinblue #boss302 #mustang #twinturbo #coyote #mach1 #ford #fordperformance @302nightmares
27,thatdudeinblue,CSMzugCngJW,1628182407,8833,53,"Photo shared by David Patterson on August 05, 2021 tagging @thatgirlinred. May be an image of 1 person, monument and outdoors.",Incase you’ve been wondering where I’ve been while MIA. We’ve have traveled to some pretty amazing places on vacation/filming! Thanks to everybody who is patient with content! #thatdudeinblue #adventuredrives #adventure @thatgirlinred @adventuredrives
28,thatdudeinblue,CR2MzjwjBTp,1627423803,8401,30,"Photo by David Patterson in VIRginia International Raceway with @ms.emelia, @pushingpistons, and @engineeringexplained. May be an image of 4 people and people standing.",Friends in all the right places! Nothing like seeing great people and fast cars! Also @ms.emelia trying to be as tall as @engineeringexplained  @pushingpistons #thatdudeinblue #cars #cadillac #blackwing #ctsv #ct5vblackwing #ct4vblackwing
29,thatdudeinblue,CRsHejED1CG,1627085465,6772,31,"Photo shared by David Patterson on July 23, 2021 tagging @boosted_92_eg_hatch. May be an image of car and outdoors.",“The Green Dragon” is the fastest Honda I’ve ever filmed. 900 AWD HP that weighs nothing. Definitely check out the INSANE video! Link in bio! #thatdudeinblue #honda #eg #turbo #k20 #boost @boosted_92_eg_hatch
30,thatdudeinblue,CRpTYNVj5vt,1626991111,10621,69,,I drove an INSANE 900HP AWD Honda Civic…and then broke it. Link in bio for today’s awesome video! #thatdudeinblue #honda #civic #eg #awd #k20 #turbo
31,thatdudeinblue,CRenxjCjSeO,1626632636,4229,12,"Photo shared by David Patterson on July 18, 2021 tagging @kob_dc2r. May be an image of 1 person, outdoors and text that says 'Race Racetech TALL PINES'.",Smile like you mean it.  #thatdudeinblue #integratyper #racecar #review #integra #honda #acura
32,thatdudeinblue,CRUsQ4aD3sd,1626299446,7096,51,"Photo by David Patterson on July 14, 2021. May be an image of car and road.","Something comforting. 

#thatdudeinblue #subzero #s550 #mustang #mustanggt #coyote"
33,thatdudeinblue,CRE9-8mDVdg,1625772058,6596,30,,FLAME ON! 🔥 My good friends at @offtheline_performance having fun with their flamethrower RX7. New video today is live with link in bio! #thatdudeinblue #rx7 #fire #2step #mazda
34,thatdudeinblue,CRCe_OrD1gj,1625688506,8808,100,"Photo by David Patterson on July 07, 2021. May be an image of car, road and text that says 'RTV0018 TOYOTA ☬ TURBO'.",Hey everyone! It’s that time of year again. If you’d like to have your car reviewed up in the north Georgia mountains I will be filming the July 14th-16th! I’m looking for cars that I have either never filmed before or are different enough to stick out. Email thatdudeinblue@gmail.com if you are able to show! #thatdudeinblue #carreview #cars #supra #mustang #s550 #mustanggt #turbo
35,thatdudeinblue,CRAOSfZjvlD,1625612642,3724,13,"Photo shared by David Patterson on July 06, 2021 tagging @gingium. May be an image of car and outdoors.",Took a day off releasing videos for the holiday! Today I did some filming with @gingium and his incredible miata duo. Videos coming soon! I have a lot of editing ahead. #thatdudeinblue #miata #gingium #mazda
36,thesmokingtire,CS1uuxfnOrt,1629555519,2767,0,"Photo by Matt Farah on August 21, 2021. May be an image of text.","In a subversive way it makes me happy to know that even @jeremyclarkson1 can run a rather large farm for 2 years, make very good, honest and interesting television about it, generally improve the global perceptions and respect due to farmers, make a simple comment about RAIN, and still get glib “stick to cars” comments."
37,thesmokingtire,CS0V-ionLgt,1629508987,3036,3,"Photo by Matt Farah on August 20, 2021. May be an image of 1 person, cat and indoor.",Afternoon naps with Niki
38,thesmokingtire,CSzlJVupYhc,1629483385,776,6,"Photo by Matt Farah on August 20, 2021. May be an image of 2 people and text that says 'Latest from TheSmokingTirePodcast JOCI TST#652 #652 Hannah Elliott SMOkiNGL IRE 1:31:07 Hannah Elliott (Bloomberg Autos) TST... TheSmokingTirePodcast TheSmoking 5.3K...'.","Don’t miss our interview with the knowledgable, wonderful @hannahelliottxo. She went to Pebble, dailies an old Rolls, and has driven some amazing things lately. We talk about the electrification of hypercars and motorcycles, Bentley’s new coach built GT, and more. Link in bio or grab it on your favorite podcast app."
39,thesmokingtire,CSxcxaFpKTY,1629411886,6021,0,"Photo by Matt Farah on August 19, 2021.","When I posted a shot of the Bronco’s open tailgate before asking if maybe it didn’t take up too much space, there was a bunch of “durrr but Jeep tho.” Comments. Making sure I wasn’t crazy, I found a Wrangler and measured. A Wrangler’s tailgate is 42 inches across. This is 50.5. If you don’t think eight inches of difference is a lot when measuring cars, it’s enough for most manufacturers to use nomenclature like “LWB.” In this photo, the Bronco is parked four feet from my garage door and the tailgate made impact when opened. I am digging the Bronco so far, but this is pretty poor design for usability, especially considering the pressurized hydraulics open it all the way (like a vertical tailgate). And all you “Durr Jeep” people can mind your P’s and fuckin Q’s because spidey sense was right: massively bigger than a Jeep."
40,thesmokingtire,CSxBEODrRN0,1629397384,5222,111,,I had a terrible time driving the new GR86 around @monticellomotorclub .
41,thesmokingtire,CSwmPIvHhGE,1629383294,7174,322,"Photo by Matt Farah on August 19, 2021.","You really need a lot of room to open this tailgate all the way, huh? That might be an issue with the 4-door. UPDATE: I measured. 50.5” tailgate compared to 42 on a wrangler. Massively bigger, so anyone who says it’s the same as a Jeep can suck it."
42,thesmokingtire,CSwkrTzHBP6,1629382476,4917,0,Photo by Matt Farah in Venice Beach. May be an image of car and outdoors.,Nice little rig I got for this week!
43,thesmokingtire,CSu86xAJfLy,1629328076,590,0,"Photo by Matt Farah on August 18, 2021.",The episode with @hannahelliottxo has been published!
44,thesmokingtire,CSu0yS-h_5F,1629323813,6603,315,"Photo by Matt Farah on August 18, 2021. May be an image of car and road.",What do you think of the new GR86 styling? Let us know and then go watch our review! Link in bio!
45,thesmokingtire,CSuUVwQH3ul,1629306802,4723,0,Photo by Matt Farah in Georgia Mountain Coaster. May be an image of 1 person and outdoors.,One rule of life is that you never pass an Alpine Coaster without stopping to have a go.
46,thesmokingtire,CSuRz-Nnnun,1629305476,5860,0,"Photo by Matt Farah on August 18, 2021. May be an image of car and road.","In north Georgia putting 300 miles on the 2022 911 GTS Coupe 7MT w/ Lightweight package! Embargo 9/21 means I’m one of the first to have a go, even before Ze Germans. What a fuckin fabulous day to drive these mountains tho!"
47,thesmokingtire,CSuPpijrtbG,1629304342,1504,0,"Photo by Matt Farah on August 18, 2021. May be an image of ‎car, outdoors and ‎text that says '‎ر TOYOTA GR86 DID THEY RUIN IT? TST‎'‎‎.","My review of the Toyota GR86 is up! This car had big shoes to fill. There's great risk when a car company updates a legend (ask BMW). The last 86/BRZ/FR-S was fun but flawed. A lot has been done to address its shortcomings. There's so much to cover you'll just have to watch the video.

Link in bio!"
48,hudabeauty,CSvz19DldEw,1629356873,100917,2518,"My loves, there is SO much going on the world right now and it’s so heartbreaking to see. I know how hard it is when you feel that you’re unable to make a difference, but just spreading awareness by sharing content can make a huge impact as well as helping charities out if you’re able to. Please swipe through and share with your friends! #savelebanon #saveafghanistan #haitiearthquake #soscuba #algeriaisburning
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Please comment below & tag ways people can help my loves.
⠀⠀⠀⠀⠀⠀⠀⠀⠀","Repost @huda
My loves, there is SO much going on the world right now and it’s so heartbreaking to see. I know how hard it is when you feel that you’re unable to make a difference, but just spreading awareness by sharing content can make a huge impact as well as helping charities out if you’re able to. Please swipe through and share with your friends!#savelebanon #saveafghanistan #haitiearthquake #soscuba #algeriaisburning
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Please comment below & tag ways people can help my loves.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Thanks @kuvrd for inspiring this post with your amazing roundup"
49,hudabeauty,CSuRKqeJ1Di,1629305274,24910,307,,"Stunning MUA @donni.davy unleashing her wild side with #WildObsessions in Chameleon & Jaguar 🔥 Versatile, super buildable, fiercely pigmented shades & creamy AF textures!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#repost @donni.davy
Been having so much fun playing w/ @hudabeauty’s gorgeous new Wild Obsessions palettes Chameleon + Jaguar🦎🐆! Topped off the look w/ my Donni x @face_lace decals in SPIKED"
50,hudabeauty,CSuQY0iln1a,1629304946,25341,255,,"Maximum control, super EASY & precise application with LIFE LINER - QUICK 'N EASY! Have you tried it yet my loves? 🖤

LIFE LINER - QUICK 'N EASY Liquid Liner:
⏰Lasts all day
🖊️Super fine tip (0.03mm) for maximum control
🖤Constant flow of ink
⚫Shade in ‘Very Vanta’ aka ultra-black & matte
💧Waterproof
✅Smudge-proof, transfer-proof, flake-proof
✅SO easy to remove
❌Doesn’t bleed
💕Perfect for beginners"
51,hudabeauty,CSuPeEFFoob,1629304598,20029,162,,"Which eyeliner style is your go-to? Classic, Winged, Feline, or Graphic? Gorg @i.am.foxxy using Life Liner Quick ‘N Easy 🖤

repost @i.am.foxxy
🚨 NEW FAVORITE EYELINER ALERT 🚨
Quick’n Easy… there isn’t a better fitting name to be honest! Glides super easily, the formula doesn’t bleed into your skin, which makes it perfect for sharp lines, and the tip is sooo tiny and sooo precise 😍👌🏼So far pretty happy with my first impressions and will keep you updated once I use it several times 😍"
52,hudabeauty,CSuIGUiF0RP,1629300384,41530,658,,"Unleash your WILD side with Jaguar🐈‍⬛& Chameleon 🦎#WILDOBSESSIONS Whether you want a soft pop of color or a WILD smokey eye, we’ve got you covered day or night!🔥"
53,hudabeauty,CSuGPHDlI3E,1629299806,42719,494,,"Feeling fierce with Jaguar🐈‍⬛🖤 Versatile, buildable, fiercely pigmented shades & creamy AF textures! #WILDOBSESSIONS"
54,hudabeauty,CSuFbTmlTY9,1629299118,38802,302,,Gorg @ashleykaylamakeup wearing Chameleon #WildObsessions 🦎💖 Tag a bestie who loves a colorful eye glam!
55,hudabeauty,CSrvyfKh04r,1629220722,42711,348,,"Leading liners vs Life Liner Quick ‘N Easy 🖤🔥😱
Now available at @hudabeautyshop, @sephora, @asos, @cultbeauty, @feelunique, @naimies @bootsuk, @harrods, @netaporter, @theofficialselfridges, @kohls, and all other retailers."
56,hudabeauty,CSrvbMjB9Iq,1629220431,50895,258,,"Thanks for your amazing review @roseandben 🖤 Lining & defining made EASY with LIFE LINER QUICK 'N EASY. #repost
""This one definitely gives you major precision! The tinier the tip of the liner is the more control you have 💫 This one would be great for graphic eyes ✨ Also great for baby wings too! I really like it 👏🏻"" @roseandben
⠀⠀⠀⠀⠀⠀⠀⠀⠀
LIFE LINER - QUICK 'N EASY Liquid Liner:
⏰Lasts all day
🖊️Super fine tip (0.03mm) for maximum control
🖤Constant flow of ink
⚫Shade in ‘Very Vanta’ aka ultra-black & matte
💧Waterproof
✅Smudge-proof, transfer-proof, flake-proof
✅SO easy to remove
❌Doesn’t bleed
💕Perfect for beginners"
57,hudabeauty,CSruyhTBmB1,1629220177,203256,1482,,"Feeling green with PYTHON 🐍🐍🐍 Versatile, buildable, fiercely pigmented shades & creamy AF textures! #WILDOBSESSIONS & Matte Basics Melted Shadows (Black & White) is now available on hudabeauty.com 💚"
58,hudabeauty,CSruWbChbZM,1629219879,77165,623,,"Drop some 💚🐍 if you’re getting WILD with this Python inspired look! #WILDOBSESSIONS officially launched everywhere! Watch till the end 🤣

Hair by @domseeley"
59,hudabeauty,CSruK92hfre,1629219681,24592,377,"#hudabeauty #eyeshadow #palette Which animal will you be channelling?🔥PYTHON JAGUAR CHAMELEON TIGER 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#WILDOBSESSIONS are now available at hudabeautyshop, sephora, asos, cultbeauty, feelunique, naimies bootsuk, harrods, netaporter, theofficialselfridges, kohls, and all other retailers
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Our Tiger Obsessions Palette is exclusive to hudabeauty.com, #ASOS, #SephoraEurope & #SephoraNorthAsia","Which animal will you be channelling?🔥PYTHON 🐍 JAGUAR 🐈‍⬛CHAMELEON 🦎TIGER 🐅
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#WILDOBSESSIONS* are now available at @hudabeautyshop, @sephora, @asos, @cultbeauty, @feelunique, @naimies @bootsuk, @harrods, @netaporter, @theofficialselfridges, @kohls, and all other retailers 🐈‍⬛🐍🐅🦎
⠀⠀⠀⠀⠀⠀⠀⠀⠀
*Our Tiger Obsessions Palette is exclusive to hudabeauty.com, #ASOS, #SephoraEurope & #SephoraNorthAsia"
60,jamescharles,CSsFa_1JbNb,1629231871,934457,33676,"Photo by James Charles on August 17, 2021. May be an image of 1 person.",u made me hate this city
61,jamescharles,CSfZbAZJL3N,1628806150,803758,25859,"Photo by James Charles in Malibu, California with @jacquemus. May be an image of 1 person, standing and outdoors.",next to u in malibu
62,jamescharles,CSKl0pthPg1,1628108008,1315203,135652,"Photo by James Charles on August 04, 2021. May be a closeup of 1 person and text that says 'SERRE'.",red your mind ❤️‍🔥
63,jamescharles,CSARdg_p7GE,1627761789,1731218,109628,"Photo by James Charles on July 31, 2021. May be an image of 1 person.","no cappuccino, I like these photos a latte ☕️"
64,jamescharles,CRxI2nepStq,1627254005,587206,4883,,⭐️✨💫
65,jamescharles,CRrnSwxJ7pR,1627068592,1435007,5493,"Photo by James Charles on July 23, 2021. May be a closeup of 1 person.","falling stars 💫 just posted a new video showing my secrets to getting a viral instagram photo! go check it out 👀

look inspired by @ageofaquaria"
66,jamescharles,CRmmQbpJPUT,1626900276,1024031,8717,"Photo by James Charles on July 21, 2021. May be an image of 1 person.","rule number one, never be number two"
67,jamescharles,CRZX2X7JZYn,1626456524,668418,4937,,just a cute little #makeup #transition 💜💜 what’s your favorite color?
68,jamescharles,CRXWc1Ypa-q,1626388673,1217503,5954,"Photo by James Charles on July 15, 2021. May be an image of 1 person, standing and indoor.",game over 🕹
69,jamescharles,CRNCwg1pnUb,1626042804,1221324,17208,"Photo by James Charles on July 11, 2021. May be an image of 1 person.",no cap 🧢
70,jamescharles,CRHqZRlpzhi,1625862258,1348862,6541,"Photo by James Charles on July 09, 2021. May be an image of 1 person and standing.","beep beep, is that my bessie in a tessie 🚙 what’s your go to gas station snack?"
71,jamescharles,CQ1jk1MJFDJ,1625254703,2292809,24005,"Photo shared by James Charles on July 02, 2021 tagging @theballerinabridemua, and @lunarbeauty. May be an image of 1 person.","New Beginnings 🦋 Hi sisters, long time no see. I wanted to let you guys know that I uploaded a new video today. It's an open and honest conversation where I talk about literally everything from the past couple of months. It’s a long one, but one of the most important videos I’ve ever filmed, so I’d really appreciate if you checked it out. 💙"
72,rclbeauty101,CSAKhlCpJc1,1627758152,37435,827,"Photo shared by Rachel Levin on July 31, 2021 tagging @kslamclothing. May be an image of 1 person, standing, car and outdoors.","I will not lie, this was not just a candid shot of me getting out of the car.. I did pose (Outfit from @kslamclothing )"
73,rclbeauty101,CRhkgFIJHcD,1626731584,18436,610,"Photo by Rachel Levin on July 19, 2021. May be an image of 1 person.",*decides to get out more* *only does things that don’t involve me leaving the car*
74,rclbeauty101,CRcMaDkJ-dw,1626551179,27327,919,"Photo shared by Rachel Levin on July 17, 2021 tagging @milanka.bee. May be an image of 1 person, standing and outdoors.",Tell me why I was surprised that it was windy WHEN I LITERALLY DROVE TO A WIND TURBINE TO TAKE PICTURES HOW DO PEOPLE DO IT AT COACHELLA?!?
75,rclbeauty101,CRXIbRrpF7r,1626381320,76933,955,"Photo shared by Rachel Levin on July 15, 2021 tagging @milanka.bee, and @neyobambi. May be an image of 2 people.",*I asked and Neyo said I could post this*
76,rclbeauty101,CN0YKe7JcMY,1618772715,24870,534,"Photo shared by Rachel Levin on April 18, 2021 tagging @natalie_alonzo, and @reaganlinkartistry. May be an image of 2 people and braids.",A literal drunk stylist styled this fit but I’m not mad about it
77,rclbeauty101,CNVrsTGpxYI,1617742766,16836,207,"Photo shared by Rachel Levin on April 06, 2021 tagging @eptm.us. May be an image of 1 person and standing.",You never realize how fast hair grows until you bleach it!! what color is your hair rn AND if you were gonna dye it what color would you choose??
78,rclbeauty101,CNQgQJHJqEJ,1617568996,44191,781,"Photo shared by Rachel Levin on April 04, 2021 tagging @shotbyzach. May be an image of 1 person, standing and high-heeled shoes.",*sees a tiktok of someone that says to take photos in a parking garage at night*
79,rclbeauty101,CLsMDyFpKAG,1614202966,49873,549,"Photo shared by Rachel Levin on February 24, 2021 tagging @patrickchurchny, and @shotbyzach. May be an image of 1 person and standing.",BIRTHDAY GIRL!!!! What a life- I love being able to experience life for so many years that’s pretty cool!
80,rclbeauty101,CLSfO8YFuBW,1613340603,30721,493,"Photo by Rachel Levin on February 14, 2021. May be an image of 1 person and indoor.",So apparently sitting down for 1 year straight makes your back hurt.. THIS WAS NEWS TO ME 😂 but I got the SKG F5 mini massage gun it’s light weight and has 3 speeds and a heating function and ugh it’s so good if you were looking for a massage gun bc you’re single and have no one to give you back massages- use the code Rachel20F5 to get 20% off the @skgglobal massage gun!! #SKG #SKGF5 #SKGF5massagegun #SKGF5minimassagegun #ad
81,rclbeauty101,CJCGN06l1Sn,1608495649,67234,1549,"Photo shared by Rachel Levin on December 20, 2020 tagging @prixworkshop. May be an image of 1 person, hair, outerwear and outdoors.",So now that I successfully look good in 3 hair colors... what color should I do next 😏
82,rclbeauty101,CI4RSO2l72B,1608165908,76979,1144,"Photo shared by Rachel Levin on December 16, 2020 tagging @brandonrinxon, and @reaganlinkartistry. May be an image of 1 person, hair, outerwear and outdoors.",??????
