,index,ï»¿,author,category,total_followers,total_following,number_posts,shortcode,timestamp,Date,time,likes,comments,engagement,average_engagement,caption,text,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,Tag_6,Tag_7,Tag_8,Tag_9,Tag_10,Tag_11,all_hashtags,neg,neu,pos,compound
10,10,10,shmee150,Automotive,1581500,2857,10552,CSPncQZiNnL,1628276629,8/6/2021,7:03:49 PM,24190,158,1.539551059,1.585372537,"Photo shared by Tim - Shmee on August 06, 2021 tagging @mercedesamg, @shmee150wastaken, @theshmeemobiles, and @theshmuseum. May be an image of car.",My AMG Black Series trio are finally together at theshmuseum Its a dream come true to have these three incredibly special cars in theshmeemobiles collection and now for the first time all here following pickup of the SLS BS from avantgarde_mb fully ready to go After taking delivery of the GT BS and C63 BS recently Ive been itching to bring the SLS BS home and now need to start planning a tour to Affalterbach Mercedes AMG BlackSeries Shmeemobile TheShmuseum Shmee150,Mercedes ,AMG ,BlackSeries ,Shmeemobile ,TheShmuseum ,Shmee150,,,,,,"Mercedes ,AMG ,BlackSeries ,Shmeemobile ,TheShmuseum ,Shmee150,,,,,",0,0.846,0.154,0.9085
11,11,11,shmee150,Automotive,1581500,2857,10552,CSKcS1PieRv,1628103012,8/4/2021,6:50:12 PM,20139,71,1.277900727,1.585372537,"Photo shared by Tim - Shmee on August 04, 2021 tagging @shmee150wastaken, and @theshmeemobiles. May be an image of 1 person, car and road.",Back to the old school car spotting in London with theshmeemobiles original V8 Vantage Roadster It feels like a decade ago enjoying the Aston and filming Aventadors they just changed from the original LP7004 to the SVJs Plus found a Huayra Roadster and LaFerrari too all in my new video taking a walk down memory lane with a truly special car in my collection Lamborghini Aventador SVJ carspotting AstonMartin Vantage Shmeemobile londoncars Shmee150,Lamborghini ,Aventador ,SVJ ,carspotting ,AstonMartin ,Vantage ,Shmeemobile ,londoncars ,Shmee150,,,"Lamborghini ,Aventador ,SVJ ,carspotting ,AstonMartin ,Vantage ,Shmeemobile ,londoncars ,Shmee150,,",0,0.796,0.204,0.9337
12,12,12,diwd_official,Automotive,322747,1846,4163,CSxJrglL0Ve,1629401876,8/19/2021,7:37:56 PM,10238,72,3.194452621,3.156884495,"Photo by DOITWITHDANÃ¢âÂ¢ on August 19, 2021. May be an image of car and outdoors.",These are my two favorites After the dually is done Im finishing the 73 I cant stop looking at old photos and videos of it,,,,,,,,,,,,",,,,,,,,,,",0,0.824,0.176,0.5702
13,13,13,diwd_official,Automotive,322747,1846,4163,CSvMcGNp8XA,1629336214,8/19/2021,1:23:34 AM,3092,15,0.962673549,3.156884495,"Photo shared by DOITWITHDANÃ¢âÂ¢ on August 18, 2021 tagging @atlantacustomwraps, @killboydotcom, and @smokymountaindrives_. May be an image of car and road.",Yo Dragon Rally XI is this weekend An absolutely epic chance to run the dragon with the best drivers on the road Im not in that category  but smokymountaindrives_ go check them out,,,,,,,,,,,,",,,,,,,,,,",0,0.88,0.12,0.5005
14,14,14,diwd_official,Automotive,322747,1846,4163,CSnI2curHnM,1629065897,8/15/2021,10:18:17 PM,16981,302,5.354968443,3.156884495,"Photo by DOITWITHDANÃ¢âÂ¢ on August 15, 2021. May be an image of 3 people and text that says 'The U.S: *Withdraws from Afghanistan after 20 years of occupation The Taliban:'.",This shit is messed up on a real note,,,,,,,,,,,,",,,,,,,,,,",0.5,0.5,0,-0.7184
15,15,15,diwd_official,Automotive,322747,1846,4163,CSiUMZ7sjBW,1628904072,8/14/2021,1:21:12 AM,6988,36,2.176317673,3.156884495,"Photo by DOITWITHDANÃ¢âÂ¢ on August 13, 2021. May be an image of car and outdoors.",Door still go up We dropped a new podcast on WrapLife today with atlantacustomwraps killboydotcom and mac_man_atl,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
16,16,16,diwd_official,Automotive,322747,1846,4163,CSgEH6PMmea,1628828538,8/13/2021,4:22:18 AM,3408,23,1.063061779,3.156884495,"Photo by DOITWITHDANÃ¢âÂ¢ on August 12, 2021. May be an image of car.",Late night creepin,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
17,17,17,diwd_official,Automotive,322747,1846,4163,CSe1wnQlwNc,1628787478,8/12/2021,4:57:58 PM,15351,102,4.787960849,3.156884495,,,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
18,18,18,diwd_official,Automotive,322747,1846,4163,CSax5KdMXv0,1628651207,8/11/2021,3:06:47 AM,7589,382,2.469736357,3.156884495,"Photo shared by DOITWITHDANÃ¢âÂ¢ on August 10, 2021 tagging @atlantacustomwraps, @killboydotcom, and @justinacw_wraplife. May be an image of car and road.",Yo so Justin and I have been kicking around the idea of doing a raffle Like we fly you out and hang Do some cool shit Ride around in the mountains in supercars etc  But we wanna make sure that is something you guys would wanna do That being said does that sound like fun to yall Wed have a blast doing it and I think some of you would too Lemme know if we should,,,,,,,,,,,,",,,,,,,,,,",0.028,0.801,0.171,0.8945
19,19,19,diwd_official,Automotive,322747,1846,4163,CSaCdDrltnI,1628626336,8/10/2021,8:12:16 PM,7985,64,2.493903894,3.156884495,"Photo by DOITWITHDANÃ¢âÂ¢ on August 10, 2021.",Swapped the door panels and dash and now its time to build the center console Got a mini fridge for it too,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
20,20,20,diwd_official,Automotive,322747,1846,4163,CSTTGc-MpbI,1628400182,8/8/2021,5:23:02 AM,9244,48,2.879035282,3.156884495,"Photo by DOITWITHDANÃ¢âÂ¢ on August 07, 2021. May be an image of 1 person and text that says 'Fear factor enitrouspart For this next challenge, you're gonna have to get out of a hammock on ketamine'.",pull that up Jamie lets see that,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
21,21,21,diwd_official,Automotive,322747,1846,4163,CSQIzoMM5AO,1628294122,8/6/2021,11:55:22 PM,10220,142,3.210564312,3.156884495,"Photo by DOITWITHDANÃ¢âÂ¢ on August 06, 2021. May be an image of text that says 'the Ate half my sandwich prolly save other half for later'.",Still kinda hungry tho,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
22,22,22,diwd_official,Automotive,322747,1846,4163,CSP29IGLNCa,1628284763,8/6/2021,9:19:23 PM,9237,86,2.888640328,3.156884495,"Photo by DOITWITHDANÃ¢âÂ¢ on August 06, 2021.",Back to chrome I missed the all chrome centers so I removed the dip,,,,,,,,,,,,",,,,,,,,,,",0.167,0.833,0,-0.296
23,23,23,diwd_official,Automotive,322747,1846,4163,CSNAhQrrfSF,1628189114,8/5/2021,6:45:14 PM,20361,299,6.40129885,3.156884495,"Photo by DOITWITHDANÃ¢âÂ¢ on August 05, 2021. May be an image of Ã¢â¬Å½text that says 'Ã¢â¬Å½About This Vehicle Ã Â°ËÃâ¡ Sport Driven 4,100 miles Engine size: 600cc i Manual transmission Exterior: White Description Ã«âË0Ã«â¹Å purchased this gsxr 600 4 days ago as my first bike. I've laid it down twice today at about 5 mph both times and I'm over it. Fuck motorcycles, I'm going back to cars. Someone come take this thing away. Just trying to get what paid for it back- minus the damage I've caused. Citan 4,100 miles I'm great condition besides the dings I've put on it today. Would trade plus cash for a 350zRead LessÃ¢â¬Å½'Ã¢â¬Å½.",Looking at bikes on FB Marketplace and came across this gem  Im not making fun of this dude I get it riding aint for everyone But I wanna be like give It a few more tries And then offer 2k less when he crashes it again ,,,,,,,,,,,,",,,,,,,,,,",0.04,0.889,0.07,0.3397
24,24,24,thatdudeinblue,Automotive,263927,1087,3410,CS2Do8oHtP4,1629566481,8/21/2021,5:21:21 PM,4015,10,1.52504291,2.777219964,"Photo shared by David Patterson on August 21, 2021 tagging @dallasperformance. May be an image of 1 person, car and road.",Starting todays video shoot off right dallasperformance lambo twinturbo tt ttlambo huracan huracanperfomante,lambo ,twinturbo ,tt ,ttlambo ,huracan ,huracanperfomante,,,,,,"lambo ,twinturbo ,tt ,ttlambo ,huracan ,huracanperfomante,,,,,",0.167,0.833,0,-0.34
25,25,25,thatdudeinblue,Automotive,263927,1087,3410,CSnE_C0nPwJ,1629064016,8/15/2021,9:46:56 PM,14357,100,5.477651017,2.777219964,,Driving a BRAND NEW manual sports car is SUCH a delight Cadillac threw me the keys to the new 668HP Blackwing and asked me for my thoughts Full video now live on the channel Link in bio thatdudeinblue ct5vblackwing ct5v cadillac cars manualtransmission manual lt4 boost sixspeed horsepower,thatdudeinblue ,ct5vblackwing ,ct5v ,cadillac ,cars ,manualtransmission ,manual ,lt4 ,boost ,sixspeed ,horsepower,"thatdudeinblue ,ct5vblackwing ,ct5v ,cadillac ,cars ,manualtransmission ,manual ,lt4 ,boost ,sixspeed ,horsepower",0,0.87,0.13,0.765
26,26,26,thatdudeinblue,Automotive,263927,1087,3410,CSaWn1tnB4Q,1628637036,8/10/2021,11:10:36 PM,3987,20,1.518222842,2.777219964,,Finally back Todays video we drive this absolutely insane twin turbo Boss 302 that makes 900HP I go through the process of the build and how to make something like this happen Link in bio thatdudeinblue boss302 mustang twinturbo coyote mach1 ford fordperformance 302nightmares,thatdudeinblue ,boss302 ,mustang ,twinturbo ,coyote ,mach1 ,ford ,fordperformance,,,,"thatdudeinblue ,boss302 ,mustang ,twinturbo ,coyote ,mach1 ,ford ,fordperformance,,,",0.064,0.882,0.054,-0.1263
27,27,27,thatdudeinblue,Automotive,263927,1087,3410,CSMzugCngJW,1628182407,8/5/2021,4:53:27 PM,8833,53,3.366840073,2.777219964,"Photo shared by David Patterson on August 05, 2021 tagging @thatgirlinred. May be an image of 1 person, monument and outdoors.",Incase youve been wondering where Ive been while MIA Weve have traveled to some pretty amazing places on vacationfilming Thanks to everybody who is patient with content thatdudeinblue adventuredrives adventure thatgirlinred adventuredrives,thatdudeinblue ,adventuredrives ,adventure,,,,,,,,,"thatdudeinblue ,adventuredrives ,adventure,,,,,,,,",0.07,0.641,0.29,0.8507
28,28,28,thatdudeinblue,Automotive,263927,1087,3410,CR2MzjwjBTp,1627423803,7/27/2021,10:10:03 PM,8401,30,3.194443918,2.777219964,"Photo by David Patterson in VIRginia International Raceway with @ms.emelia, @pushingpistons, and @engineeringexplained. May be an image of 4 people and people standing.",Friends in all the right places Nothing like seeing great people and fast cars Also msemelia trying to be as tall as engineeringexplained  pushingpistons thatdudeinblue cars cadillac blackwing ctsv ct5vblackwing ct4vblackwing,thatdudeinblue ,cars ,cadillac ,blackwing ,ctsv ,ct5vblackwing ,ct4vblackwing,,,,,"thatdudeinblue ,cars ,cadillac ,blackwing ,ctsv ,ct5vblackwing ,ct4vblackwing,,,,",0.148,0.767,0.085,-0.3191
29,29,29,thatdudeinblue,Automotive,263927,1087,3410,CRsHejED1CG,1627085465,7/24/2021,12:11:05 AM,6772,31,2.577606687,2.777219964,"Photo shared by David Patterson on July 23, 2021 tagging @boosted_92_eg_hatch. May be an image of car and outdoors.",The Green Dragon is the fastest Honda Ive ever filmed 900 AWD HP that weighs nothing Definitely check out the INSANE video Link in bio thatdudeinblue honda eg turbo k20 boost boosted_92_eg_hatch,thatdudeinblue ,honda ,eg ,turbo ,k20 ,boost,,,,,,"thatdudeinblue ,honda ,eg ,turbo ,k20 ,boost,,,,,",0.152,0.776,0.072,-0.4572
30,30,30,thatdudeinblue,Automotive,263927,1087,3410,CRpTYNVj5vt,1626991111,7/22/2021,9:58:31 PM,10621,69,4.050362411,2.777219964,,I drove an INSANE 900HP AWD Honda Civicand then broke it Link in bio for todays awesome video thatdudeinblue honda civic eg awd k20 turbo,thatdudeinblue ,honda ,civic ,eg ,awd ,k20 ,turbo,,,,,"thatdudeinblue ,honda ,civic ,eg ,awd ,k20 ,turbo,,,,",0.199,0.67,0.131,-0.2808
31,31,31,thatdudeinblue,Automotive,263927,1087,3410,CRenxjCjSeO,1626632636,7/18/2021,6:23:56 PM,4229,12,1.606883722,2.777219964,"Photo shared by David Patterson on July 18, 2021 tagging @kob_dc2r. May be an image of 1 person, outdoors and text that says 'Race Racetech TALL PINES'.",Smile like you mean it  thatdudeinblue integratyper racecar review integra honda acura,thatdudeinblue ,integratyper ,racecar ,review ,integra ,honda ,acura,,,,,"thatdudeinblue ,integratyper ,racecar ,review ,integra ,honda ,acura,,,,",0,0.667,0.333,0.6124
32,32,32,thatdudeinblue,Automotive,263927,1087,3410,CRUsQ4aD3sd,1626299446,7/14/2021,9:50:46 PM,7096,51,2.707945758,2.777219964,"Photo by David Patterson on July 14, 2021. May be an image of car and road.",Something comforting thatdudeinblue subzero s550 mustang mustanggt coyote,,,,,,,,,,,,",,,,,,,,,,",0,0.722,0.278,0.4019
33,33,33,thatdudeinblue,Automotive,263927,1087,3410,CRE9-8mDVdg,1625772058,7/8/2021,7:20:58 PM,6596,30,2.510542688,2.777219964,,FLAME ON  My good friends at offtheline_performance having fun with their flamethrower RX7 New video today is live with link in bio thatdudeinblue rx7 fire 2step mazda,thatdudeinblue ,rx7 ,fire ,2step ,mazda,,,,,,,"thatdudeinblue ,rx7 ,fire ,2step ,mazda,,,,,,",0.069,0.663,0.268,0.7845
34,34,34,thatdudeinblue,Automotive,263927,1087,3410,CRCe_OrD1gj,1625688506,7/7/2021,8:08:26 PM,8808,100,3.375175711,2.777219964,"Photo by David Patterson on July 07, 2021. May be an image of car, road and text that says 'RTV0018 TOYOTA Ã¢ËÂ¬ TURBO'.",Hey everyone Its that time of year again If youd like to have your car reviewed up in the north Georgia mountains I will be filming the July 14th16th Im looking for cars that I have either never filmed before or are different enough to stick out Email thatdudeinbluegmailcom if you are able to show thatdudeinblue carreview cars supra mustang s550 mustanggt turbo,thatdudeinblue ,carreview ,cars ,supra ,mustang ,s550 ,mustanggt ,turbo,,,,"thatdudeinblue ,carreview ,cars ,supra ,mustang ,s550 ,mustanggt ,turbo,,,",0,0.96,0.04,0.3612
35,35,35,thatdudeinblue,Automotive,263927,1087,3410,CRAOSfZjvlD,1625612642,7/6/2021,11:04:02 PM,3724,13,1.415921827,2.777219964,"Photo shared by David Patterson on July 06, 2021 tagging @gingium. May be an image of car and outdoors.",Took a day off releasing videos for the holiday Today I did some filming with gingium and his incredible miata duo Videos coming soon I have a lot of editing ahead thatdudeinblue miata gingium mazda,thatdudeinblue ,miata ,gingium ,mazda,,,,,,,,"thatdudeinblue ,miata ,gingium ,mazda,,,,,,,",0,0.917,0.083,0.4019
36,36,36,thesmokingtire,Automotive,291290,1116,5956,CS1uuxfnOrt,1629555519,8/21/2021,2:18:39 PM,2767,0,0.949912458,1.428988293,"Photo by Matt Farah on August 21, 2021. May be an image of text.",In a subversive way it makes me happy to know that even jeremyclarkson1 can run a rather large farm for 2 years make very good honest and interesting television about it generally improve the global perceptions and respect due to farmers make a simple comment about RAIN and still get glib stick to cars comments,,,,,,,,,,,,",,,,,,,,,,",0.029,0.676,0.295,0.9536
37,37,37,thesmokingtire,Automotive,291290,1116,5956,CS0V-ionLgt,1629508987,8/21/2021,1:23:07 AM,3036,3,1.043290192,1.428988293,"Photo by Matt Farah on August 20, 2021. May be an image of 1 person, cat and indoor.",Afternoon naps with Niki,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
38,38,38,thesmokingtire,Automotive,291290,1116,5956,CSzlJVupYhc,1629483385,8/20/2021,6:16:25 PM,776,6,0.268460984,1.428988293,"Photo by Matt Farah on August 20, 2021. May be an image of 2 people and text that says 'Latest from TheSmokingTirePodcast JOCI TST#652 #652 Hannah Elliott SMOkiNGL IRE 1:31:07 Hannah Elliott (Bloomberg Autos) TST... TheSmokingTirePodcast TheSmoking 5.3K...'.",Dont miss our interview with the knowledgable wonderful hannahelliottxo She went to Pebble dailies an old Rolls and has driven some amazing things lately We talk about the electrification of hypercars and motorcycles Bentleys new coach built GT and more Link in bio or grab it on your favorite podcast app,,,,,,,,,,,,",,,,,,,,,,",0,0.757,0.243,0.9297
39,39,39,thesmokingtire,Automotive,291290,1116,5956,CSxcxaFpKTY,1629411886,8/19/2021,10:24:46 PM,6021,0,2.067012256,1.428988293,"Photo by Matt Farah on August 19, 2021.",When I posted a shot of the Broncos open tailgate before asking if maybe it didnt take up too much space there was a bunch of durrr but Jeep tho Comments Making sure I wasnt crazy I found a Wrangler and measured A Wranglers tailgate is 42 inches across This is 505 If you dont think eight inches of difference is a lot when measuring cars its enough for most manufacturers to use nomenclature like LWB In this photo the Bronco is parked four feet from my garage door and the tailgate made impact when opened I am digging the Bronco so far but this is pretty poor design for usability especially considering the pressurized hydraulics open it all the way like a vertical tailgate And all you Durr Jeep people can mind your Ps and fuckin Qs because spidey sense was right massively bigger than a Jeep,,,,,,,,,,,,",,,,,,,,,,",0.027,0.855,0.117,0.9136
40,40,40,thesmokingtire,Automotive,291290,1116,5956,CSxBEODrRN0,1629397384,8/19/2021,6:23:04 PM,5222,111,1.830821518,1.428988293,,I had a terrible time driving the new GR86 around monticellomotorclub ,,,,,,,,,,,,",,,,,,,,,,",0.279,0.721,0,-0.4767
41,41,41,thesmokingtire,Automotive,291290,1116,5956,CSwmPIvHhGE,1629383294,8/19/2021,2:28:14 PM,7174,322,2.57338048,1.428988293,"Photo by Matt Farah on August 19, 2021.",You really need a lot of room to open this tailgate all the way huh That might be an issue with the 4door UPDATE I measured 505 tailgate compared to 42 on a wrangler Massively bigger so anyone who says its the same as a Jeep can suck it,,,,,,,,,,,,",,,,,,,,,,",0.062,0.938,0,-0.4404
42,42,42,thesmokingtire,Automotive,291290,1116,5956,CSwkrTzHBP6,1629382476,8/19/2021,2:14:36 PM,4917,0,1.688008514,1.428988293,Photo by Matt Farah in Venice Beach. May be an image of car and outdoors.,Nice little rig I got for this week,,,,,,,,,,,,",,,,,,,,,,",0.134,0.555,0.311,0.3804
43,43,43,thesmokingtire,Automotive,291290,1116,5956,CSu86xAJfLy,1629328076,8/18/2021,11:07:56 PM,590,0,0.20254729,1.428988293,"Photo by Matt Farah on August 18, 2021.",The episode with hannahelliottxo has been published,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
44,44,44,thesmokingtire,Automotive,291290,1116,5956,CSu0yS-h_5F,1629323813,8/18/2021,9:56:53 PM,6603,315,2.374952796,1.428988293,"Photo by Matt Farah on August 18, 2021. May be an image of car and road.",What do you think of the new GR86 styling Let us know and then go watch our review Link in bio,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
45,45,45,thesmokingtire,Automotive,291290,1116,5956,CSuUVwQH3ul,1629306802,8/18/2021,5:13:22 PM,4723,0,1.621408219,1.428988293,Photo by Matt Farah in Georgia Mountain Coaster. May be an image of 1 person and outdoors.,One rule of life is that you never pass an Alpine Coaster without stopping to have a go,,,,,,,,,,,,",,,,,,,,,,",0,0.917,0.083,0.1139
46,46,46,thesmokingtire,Automotive,291290,1116,5956,CSuRz-Nnnun,1629305476,8/18/2021,4:51:16 PM,5860,0,2.011740877,1.428988293,"Photo by Matt Farah on August 18, 2021. May be an image of car and road.",In north Georgia putting 300 miles on the 2022 911 GTS Coupe 7MT w Lightweight package Embargo 921 means Im one of the first to have a go even before Ze Germans What a fuckin fabulous day to drive these mountains tho,,,,,,,,,,,,",,,,,,,,,,",0,0.918,0.082,0.5267
